"SantaCruz_N","SantaCruz_S","SantaCruz_E","SantaCruz_W","SantaFe_N","SantaFe_S","SantaFe_E","SantaFe_W","Floreana_N","Floreana_S","Floreana_E","Floreana_W","Espanola_N","Espanola_S","Espanola_E","Espanola_W","SanCristobal_N","SanCristobal_S","SanCristobal_E","SanCristobal_W","Pinzon","Santiago_N","Santiago_S","Santiago_E","Santiago_W","Genovesa","Marchena_N","Marchena_S","Marchena_E","Marchena_W","Pinta_N","Pinta_S","Pinta_E","Pinta_W","Isabela_N","Isabela_S","Isabela_E1","Isabela_E2","Isabela_E3","Isabela_W1","Isabela_W2","Isabela_W3","Fernandina_N","Fernandina_S","Fernandina_E","Fernandina_W"
"Pinta_N","1163.017","2060.258","1166.391","1523.017","1315.692","1735.831","1364.389","1690.065","2248.527","2539.127","2119.684","2176.999","1607.599","2126.564","1735.159","1903.305","1070.054","1644.365","1496.369","1249.923","1501.374"," 732.156","1498.688","1025.786","1077.372"," 510.949"," 328.412"," 630.302"," 463.234"," 380.988","   0.000"," 405.078","  68.506"," 127.248"," 617.709","2067.582","1660.141","1193.196"," 827.134","1390.284","1711.071"," 847.342","1116.149","1462.935","1817.777","1060.416"
"Pinta_S","1077.981","2123.824","1078.805","1480.920","1166.212","1778.859","1227.621","1311.991","2051.096","2544.685","2488.263","2027.770","1501.891","2135.380","1526.231","1806.750"," 995.402","1470.897","1656.409","1157.961","1461.338"," 757.692","1521.308"," 938.531","1191.167"," 797.712"," 275.041"," 367.289"," 579.263"," 234.185"," 403.770","   0.000"," 104.832","  66.418"," 415.374","2065.865","1578.832","1214.458"," 646.567","1429.771","1638.071"," 790.352","1018.611","1388.719","1752.511","1037.901"
"Pinta_E"," 975.320","1778.617","1036.698","1308.503","1085.690","1584.069","1143.931","1473.617","1920.935","2371.289","2167.373","1821.448","1657.475","2023.845","1705.441","1820.391","1096.373","1603.526","1725.646","1144.916","1284.726"," 504.388","1303.030"," 694.953"," 940.174"," 763.134"," 235.524"," 471.978"," 502.976"," 259.468","   4.862","  19.874","   0.000"," 185.505"," 468.143","1894.871","1329.049"," 939.158"," 522.878","1563.396","1749.788"," 868.628","1154.344","1483.630","1831.159","1133.773"
"Pinta_W"," 932.545","1844.855"," 966.254","1227.720"," 964.957","1403.964"," 986.866","1156.193","2043.999","2413.818","1985.926","1881.525","1411.506","1793.358","1421.613","1552.654","1082.049","1302.556","1519.639"," 918.105","1252.630"," 648.757","1320.608"," 749.839"," 987.725"," 772.346"," 418.594"," 433.494"," 679.810"," 371.827"," 283.875","  69.140"," 476.860","   0.000"," 744.657","2138.258","1481.523","1149.050"," 747.755","1682.936","1976.721","1104.172","1347.820","1701.421","2110.797","1340.048"
"Isabela_N"," 927.300","1744.938"," 939.737","1114.885","1007.350","1781.814","1179.470","1545.587","1860.778","2277.061","2043.696","1800.422","1588.932","2147.531","1814.381","1931.666","1366.062","1620.975","1670.545","1230.002"," 823.042"," 469.125"," 946.590"," 809.205"," 435.597","1038.401"," 908.244"," 650.737"," 947.206"," 647.563"," 837.262"," 749.392","1032.281"," 648.358","   0.000","1285.832","1292.317"," 564.745"," 414.963"," 786.651"," 970.688"," 224.793"," 433.786"," 723.979","1134.725"," 425.037"
"Isabela_S","1133.480"," 832.008","1077.095"," 761.160","1069.566","1057.542","1326.841"," 952.243"," 631.398"," 927.352"," 898.847"," 634.995","1277.699","1293.962","1392.994","1272.989","2474.302","1607.174","1516.301","1735.385"," 671.678","1893.157"," 910.657","1453.023","1102.450","2050.900","2242.938","1610.114","1654.515","1774.789","3172.052","2178.776","2110.249","2463.101","1571.580","   0.000"," 375.571"," 954.327","1541.070"," 352.880"," 813.305"," 923.811","1059.261"," 601.138","1020.994"," 581.447"
"Isabela_E1"," 990.931","1070.919","1466.481"," 584.794","1455.833","1325.163","1579.907","1231.666"," 628.758","1143.151","1182.029"," 565.863","1658.534","1682.412","1709.362","1557.714","2731.578","2152.741","1785.442","2042.091"," 454.493","1343.455"," 465.394","1144.785"," 520.305","2056.487","2095.830","1514.637","1597.505","1613.102","2234.047","1705.044","1937.581","1836.491","1234.430"," 224.108","   0.000"," 353.400"," 704.421"," 689.747","1160.195","1391.616","1541.966","1001.286","1440.848","1043.043"
"Isabela_E2","1031.783"," 796.361","1561.825"," 649.660","1305.767","1159.498","1416.884"," 887.868"," 702.797","1244.655","1160.215"," 678.093","1584.133","1821.904","1863.683","1665.253","2463.780","2083.436","1907.047","2140.320"," 459.086","1150.018"," 878.957","1967.942"," 234.713","2039.633","1713.240","1920.495","2277.845","1419.153","1769.912","1252.952","1451.129","1394.892"," 615.317"," 660.907"," 224.150","   0.000"," 362.941","1400.970","2097.186","1440.159","1798.163","1807.524","2327.458","1771.179"
"Isabela_E3","1288.155","1353.072","1806.816"," 925.908","1669.134","1707.109","1766.770","1577.967","1192.008","1804.512","1723.802","1205.119","1983.989","2503.584","2147.417","2305.994","1915.532","2031.232","2003.014","1754.113"," 756.580"," 823.096"," 658.960","1333.451"," 442.744","1893.254","2010.926","1482.260","1779.485","1667.145","1496.786","1231.205","1407.602","1177.875"," 246.747","1243.408"," 724.284"," 406.538","   0.000","1804.591","2003.227"," 934.907","1350.896","1829.871","2143.223","1328.812"
"Isabela_W1","2077.241","1420.325","1993.692","1639.281","1411.660","1607.730","2023.658","1079.324"," 860.572","1022.415"," 975.296"," 830.448","1353.355","1191.373","1427.963","1239.879","3781.381","2789.491","1814.150","2790.217","1626.551","3735.148","2672.235","3157.435","3957.366","3480.883","3364.056","3455.989","2985.298","3247.674","2885.666","2942.026","3237.385","2756.636","1241.259"," 390.110"," 897.918","2877.781","2956.250","   0.000"," 293.998"," 662.584"," 802.938"," 118.864"," 447.026"," 345.044"
"Isabela_W2","4763.797","2871.588","6950.466","2959.553","6335.891","4665.661","5442.662","5468.239","2696.191","2247.886","2454.500","2423.294","4990.156","3112.488","5033.852","3396.916","6383.778","5450.096","7128.618","5304.423","3350.842","4119.933","4217.811","4324.631","4621.329","7417.545","4853.959","4939.212","5005.193","4712.855","4343.990","3733.109","4576.660","3249.771","2497.442","1423.930","2142.113","3815.009","4045.723"," 600.879","   0.000","1584.576","1837.056"," 471.138"," 313.570"," 995.640"
"Isabela_W3","1822.353","2089.259","2420.165","1975.939","2755.741","2353.059","2782.368","2442.160","1770.039","2021.854","1939.515","1765.378","2801.981","2104.805","2421.050","2285.590","3099.699","2434.677","2547.146","2248.398","2215.751","1370.921","2003.449","1330.425","1326.798","1780.172"," 999.951","1237.230","1537.445","1056.725"," 790.577"," 856.275","1021.752"," 791.932"," 347.753","1238.651","1713.821","1547.931"," 908.875"," 679.065"," 936.303","   0.000"," 153.001"," 650.781","1104.494"," 278.414"
"Fernandina_N","2291.141","2255.840","2784.855","3723.422","2449.481","2748.891","2351.514","2717.683","2259.061","2506.283","2158.388","2272.632","1986.542","2302.802","1990.854","2298.617","2808.360","2282.418","2525.221","2268.907","3455.608","1847.952","3179.095","2039.002","2228.995","2251.090","2440.990","2047.927","2063.741","2088.157","2107.851","1857.428","1896.684","1743.279","1221.473","1475.793","2533.586","2697.237","1743.496"," 798.983","1331.780"," 440.120","   0.000"," 950.181","1588.893"," 391.065"
"Fernandina_S","2907.444","2539.651","3991.182","2631.699","2728.563","2821.439","2500.932","3269.645","2027.420","1803.012","2022.326","1903.671","2640.974","2202.836","2134.120","2187.686","4527.425","3237.654","3640.009","3494.473","2898.285","2926.150","4496.982","2468.278","3804.053","3335.152","2971.055","3228.032","3144.941","2933.668","2412.215","2356.087","2773.114","2256.955","1284.714","1137.819","1976.611","3423.577","2963.909"," 567.373"," 152.633"," 569.130"," 795.353","   0.000"," 346.065"," 251.382"
"Fernandina_E","4466.334","3353.525","8196.326","2648.120","6297.469","4627.238","5404.240","5338.971","2697.032","3295.041","3270.870","2564.373","4951.733","4387.796","5680.362","4558.961","6086.314","5411.674","5949.076","5266.001","3039.410","3822.470","3906.378","4027.167","4323.866","7120.081","4556.496","4641.749","4707.729","4415.391","4046.526","3741.217","4279.197","3567.455","2560.235","1494.278","2142.954","3503.576","3854.331"," 674.010"," 172.412","1464.550","1776.311"," 604.421","   0.000"," 964.561"
"Fernandina_W","2612.275","1754.546","2945.386","2290.312","2025.162","2171.993","2453.555","2153.514","1560.903","1751.132","1676.928","1430.309","1535.851","1365.519","1420.650","1361.335","3245.055","2574.237","1669.853","2510.746","2464.556","2244.802","3706.930","2382.445","2469.808","2647.781","1724.313","1791.101","2288.004","1752.338","1251.918","1716.968","1616.496","1246.139"," 694.610"," 761.709","1483.295","3048.458","2008.538"," 276.311"," 429.236"," 193.047"," 279.520"," 240.540"," 565.478","   0.000"
