"","name_species","El_Hierro","La_Palma","La_Gomera","Tenerife","Gran_Canaria","Fuerteventura","Lanzarote"
"245","Pallenis spinosa",NA,1,1,1,1,1,1
"246","Tolpis barbata",1,1,1,1,1,1,1
"247","Calendula arvensis",1,1,1,1,1,1,1
"248","Ceratocapnos heterocarpa",NA,NA,NA,NA,NA,1,NA
"249","Plantago webbii",NA,1,NA,1,1,NA,NA
"250","Hirschfeldia incana",1,1,1,1,1,1,1
"254","Beta macrocarpa",NA,1,NA,1,1,1,1
"255","Beta maritima",1,1,1,1,1,1,1
"257","Calystegia soldanella",NA,NA,NA,NA,NA,NA,1
"263","Gymnocarpos decandrus",NA,NA,1,1,1,1,1
"264","Herniaria canariensis",NA,NA,NA,1,NA,NA,NA
"267","Juncus acutus",NA,1,1,1,1,1,1
"268","Maytenus canariensis",1,1,1,1,1,1,NA
"269","Pancratium canariense",1,1,1,1,1,1,1
"271","Patellifolia patellaris",1,1,1,1,1,1,1
"284","Aaronsohnia pubescens",NA,NA,NA,NA,NA,1,1
"285","Adenocarpus foliolosus",1,1,1,1,1,NA,NA
"286","Aeonium appendiculatum",NA,NA,1,NA,NA,NA,NA
"287","Aeonium arboreum",1,1,1,1,1,NA,NA
"288","Aeonium balsamiferum",NA,NA,NA,NA,NA,1,1
"289","Aeonium canariense",1,1,1,1,1,NA,NA
"290","Aeonium castello-paivae",NA,NA,1,NA,NA,NA,NA
"291","Aeonium ciliatum",NA,NA,NA,1,NA,NA,NA
"292","Aeonium davidbramwellii",NA,1,NA,NA,NA,NA,NA
"293","Aeonium decorum",NA,NA,1,1,NA,NA,NA
"294","Aeonium goochiae",NA,1,NA,NA,NA,NA,NA
"295","Aeonium haworthii",NA,NA,NA,1,NA,NA,NA
"296","Aeonium hierrense",1,1,NA,NA,NA,NA,NA
"297","Aeonium lancerottense",NA,NA,NA,NA,NA,NA,1
"298","Aeonium lindleyi",NA,NA,1,1,NA,NA,NA
"299","Aeonium nobile",NA,1,NA,NA,NA,NA,NA
"300","Aeonium percarneum",NA,NA,NA,NA,1,NA,NA
"301","Aeonium pseudourbicum",NA,NA,NA,1,NA,NA,NA
"302","Aeonium saundersii",NA,NA,1,NA,NA,NA,NA
"303","Aeonium sedifolium",NA,1,1,1,NA,NA,NA
"304","Aeonium smithii",NA,NA,NA,1,NA,NA,NA
"305","Aeonium tabulaeforme",NA,NA,NA,1,NA,NA,NA
"306","Aeonium undulatum",NA,NA,NA,NA,1,NA,NA
"307","Aeonium urbicum",NA,NA,NA,1,NA,NA,NA
"308","Aeonium valverdense",1,NA,NA,NA,NA,NA,NA
"310","Aichryson laxum",1,1,1,1,1,1,NA
"311","Aichryson tortuosum",NA,NA,NA,NA,NA,1,1
"312","Aizoon canariense",1,1,1,1,1,1,1
"313","Aizoon hispanicum",NA,NA,1,NA,NA,1,NA
"314","Ajuga iva",1,1,1,1,1,1,1
"315","Alisma lanceolatum",NA,NA,NA,NA,1,NA,NA
"316","Allium sphaerocephalum",NA,NA,NA,1,NA,NA,NA
"317","Allium subhirsutum",1,1,1,1,1,1,1
"318","Allium subvillosum",1,1,1,1,1,1,1
"319","Allium vineale",NA,1,NA,1,1,1,1
"320","Anagallis arvensis",1,1,1,1,1,1,1
"321","Anagyris latifolia",NA,1,1,1,1,NA,NA
"322","Androcymbium hierrense",1,1,1,NA,NA,NA,NA
"324","Argyranthemum filifolium",NA,NA,NA,NA,1,NA,NA
"325","Argyrolobium armindae",NA,NA,NA,NA,1,NA,NA
"326","Arisarum simorrhinum",NA,NA,NA,1,1,1,1
"327","Artemisia ramosa",NA,NA,NA,1,1,NA,NA
"328","Artemisia reptans",NA,NA,NA,1,1,1,NA
"329","Artemisia thuscula",1,1,1,1,1,NA,NA
"330","Asphodelus fistulosus",1,1,1,1,1,1,1
"331","Asphodelus ramosus",1,1,1,1,1,1,1
"332","Asphodelus tenuifolius",1,1,1,1,1,1,1
"333","Asteriscus graveolens",NA,NA,NA,NA,1,NA,NA
"334","Asteriscus intermedius",NA,NA,NA,NA,NA,1,1
"336","Asteriscus sericeus",NA,NA,NA,NA,NA,1,NA
"337","Astragalus edulis",NA,NA,NA,NA,NA,1,1
"338","Astragalus mareoticus",NA,NA,NA,NA,NA,1,1
"339","Astragalus pelecinus",1,1,1,1,1,1,1
"340","Astragalus stella",NA,NA,NA,NA,NA,1,1
"341","Brachypodium arbuscula",1,NA,1,1,NA,NA,NA
"342","Brachypodium sylvaticum",1,1,1,1,1,NA,NA
"343","Brassica bourgeaui",1,1,1,1,NA,NA,NA
"344","Bufonia paniculata",NA,1,1,1,1,NA,NA
"345","Buglossoides arvensis",NA,NA,NA,1,1,1,1
"347","Calamintha sylvatica",1,1,1,1,1,NA,NA
"348","Campanula dichotoma",NA,NA,1,1,NA,1,1
"349","Camptoloma canariense",NA,NA,NA,NA,1,NA,NA
"350","Carex canariensis",1,1,1,1,1,NA,NA
"351","Carex divisa",1,NA,NA,NA,NA,NA,NA
"352","Carex divulsa",1,1,1,1,1,1,1
"353","Carrichtera annua",1,NA,1,1,1,1,1
"354","Catapodium hemipoa",NA,NA,NA,NA,NA,1,1
"355","Ceballosia fruticosa",1,1,1,1,1,1,1
"356","Cedronella canariensis",1,1,1,1,1,NA,NA
"357","Chamaecytisus proliferus",1,1,1,1,1,NA,NA
"358","Cheirolophus burchardii",NA,NA,NA,1,NA,NA,NA
"359","Cheirolophus canariensis",NA,NA,NA,1,NA,NA,NA
"360","Cheirolophus dariasi",NA,NA,1,NA,NA,NA,NA
"361","Cheirolophus ghomerytus",NA,NA,1,NA,NA,NA,NA
"362","Cheirolophus junonianus",NA,1,NA,NA,NA,NA,NA
"363","Cheirolophus webbianus",NA,NA,NA,1,NA,NA,NA
"364","Chenopodium coronopus",1,1,NA,1,1,NA,NA
"365","Cistanche phelipaea",NA,NA,NA,NA,NA,1,1
"366","Cistus grancanariae",NA,NA,NA,NA,1,NA,NA
"367","Cistus horrens",NA,NA,NA,NA,1,NA,NA
"368","Cistus monspeliensis",1,1,1,1,1,NA,NA
"369","Cistus symphytifolius",NA,1,NA,1,NA,NA,NA
"370","Cladium mariscus",NA,NA,NA,NA,1,NA,NA
"372","Convolvulus floridus",1,1,1,1,1,1,1
"373","Convolvulus fruticulosus",1,1,NA,1,NA,NA,NA
"374","Convolvulus scoparius",1,1,1,1,1,NA,NA
"375","Convolvulus subauriculatus",NA,NA,1,NA,NA,NA,NA
"376","Coronilla viminalis",NA,NA,NA,NA,1,1,1
"377","Crambe scaberrima",NA,NA,NA,1,NA,NA,NA
"378","Crambe scoparia",NA,NA,NA,NA,1,NA,NA
"379","Crambe strigosa",NA,1,1,1,NA,NA,NA
"380","Crambe tamadabensis",NA,NA,NA,NA,1,NA,NA
"381","Cryptotaenia elegans",NA,1,1,1,NA,NA,NA
