name_species,family,habitat<500m,status,littoral,El_Hierro,La_Palma,La_Gomera,Tenerife,Gran_Canaria,Fuerteventura,Lanzarote,#islands,sindrome,thalassochory
Avena_fatua,Poaceae,1,NS,,1,1,1,1,1,1,1,7,EPI,
Bituminaria_bituminosa,Fabaceae,1,NP,,1,1,1,1,1,1,1,7,EPI,
Cynoglossum_creticum,Boraginaceae,1,NO,,0,1,1,1,1,0,0,4,EPI,
Cynosurus_echinatus,Poaceae,1,NO,,1,1,1,1,1,0,1,6,EPI,
Dactylis_smithii,Poaceae,1,NS,,1,1,1,1,1,1,1,7,EPI,
Erodium_chium,Geraniaceae,1,NO,,1,1,1,1,1,1,1,7,EPI,
Erodium_neuradifolium,Geraniaceae,1,NP,,0,0,0,1,1,1,1,4,EPI,
Galium_aparine,Rubiaceae,1,NO,,1,1,1,1,1,1,1,7,EPI,
Galium_murale,Rubiaceae,1,NP,,1,1,1,1,1,1,1,7,EPI,
Galium_scabrum,Rubiaceae,1,NO,,1,1,1,1,1,1,0,6,EPI,
Schizogyne_sericea,Asteraceae,1,NS,presence,1,1,1,1,1,1,1,7,ANE,
Hedypnois_rhagadioloides,Asteraceae,1,NO,,1,1,1,1,1,1,1,7,EPI,
Herniaria_cinerea,Caryophyllaceae,1,NP,,1,0,1,1,1,1,1,6,EPI,
Holcus_lanatus,Poaceae,1,NP,,0,1,1,1,1,0,0,4,EPI,
Hordeum_murinum,Poaceae,1,NO,,1,1,1,1,1,1,1,7,EPI,
Lolium_canariense,Poaceae,1,NS,,1,1,1,1,1,1,1,7,EPI,
Lolium_edwardii,Poaceae,1,End,,1,0,0,1,0,0,0,2,EPI,
Marrubium_vulgare,Lamiaceae,1,NO,,1,1,1,1,1,1,1,7,EPI,
Medicago_laciniata,Fabaceae,1,NS,,1,1,1,1,1,1,1,7,EPI,
Senecio_bollei,Asteraceae,1,End,presence,0,0,0,0,0,1,0,1,ANE,
Medicago_polymorpha,Fabaceae,1,NO,,1,1,1,1,1,1,1,7,EPI,
Setaria_adhaerens,Poaceae,1,NO,,1,1,1,1,1,1,1,7,EPI,
Spergularia_bocconei,Caryophyllaceae,1,NO,,1,1,1,1,1,1,1,7,EPI,
Torilis_arvensis,Apiaceae,1,NO,,1,1,1,1,1,1,1,7,EPI,
Tragus_racemosus,Poaceae,1,NP,,1,1,1,1,1,1,1,7,EPI,
Tribulus_terrestris,Zygophyllaceae,1,NP,,0,0,0,1,1,1,0,3,EPI,
Trifolium_tomentosum,Fabaceae,1,NP,,1,1,1,1,1,1,1,7,EPI,
Vulpia_muralis,Poaceae,1,NP,,1,1,1,0,1,1,0,5,EPI,
Ammodaucus_nanocarpus,Apiaceae,1,NS,,0,0,0,1,0,1,0,2,multic,
Calendula_aegyptiaca,Asteraceae,1,NP,,1,0,1,1,1,1,1,6,multic,
Calendula_tripterocarpa,Asteraceae,1,NP,,0,0,0,1,1,1,1,4,multic,
Cenchrus_ciliaris,Poaceae,1,NP,,1,1,1,1,1,1,1,7,multic,
Drusa_glandulosa,Apiaceae,1,NS,,1,1,1,1,1,1,1,7,multic,
Rostraria_pumila,Poaceae,1,NP,,1,1,0,1,1,1,1,6,multic,
Rumex_bucephalophorus,Polygonaceae,1,NS,,1,1,1,1,1,1,1,7,multic,
Senecio_flavus,Asteraceae,1,NP,,0,0,0,1,1,1,1,4,multic,
Stipa_capensis,Poaceae,1,NP,,1,1,1,1,1,1,1,7,multic,
Tetrapogon_villosus,Poaceae,1,NP,,0,0,1,1,1,1,1,5,multic,
Emex_spinosa,Polygonaceae,1,NP,,1,1,1,1,1,1,1,7,multic,
Sonchus_bornmuelleri,Asteraceae,1,End,presence,0,1,0,0,0,0,0,1,ANE,
Sonchus_brachylobus,Asteraceae,1,End,presence,0,0,0,0,1,0,0,1,ANE,
Ammi_majus,Apiaceae,1,NO,,1,1,1,1,1,1,0,6,multic,0.5
Tamarix_canariensis,Tamaricaceae,1,NS,presence,0,1,1,1,1,1,1,6,ANE,
Argyranthemum_tenerifae,Asteraceae,1,End,,0,0,0,1,0,0,0,1,multic,0.5
