Family,Genus ,Species,habitats<500m,Sub-Origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,#Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Tiliaceae,Corchorus,orinocensis,1,Id,1,7,1,1,1,,1,,1,1,,1,,,1,Capsule,1,0,0,0,0,,
Boraginaceae,Cordia,polycephala,1,Id,1,1,,,,,1,,,,,,,,2,Drupe,0,1,0,0,0,,
Boraginaceae,Cordia,revoluta,1,En,1,4,,1,1,,1,,,,,,,1,2,Drupe,0,1,0,0,0,,
Boraginaceae,Cordia,leucophlyctis,1,En,1,6,,1,1,,1,,,,1,1,,1,,,0,1,0,0,0,,
Boraginaceae,Cordia,scouleri,1,En,1,6,,,1,,1,,1,,1,1,,1,2,Drupe,0,1,0,0,0,,
Boraginaceae,Cordia,anderssonii,1,En,1,8,1,,1,,1,,1,1,1,1,,1,2,Drupe,0,1,0,0,0,,
Boraginaceae,Cordia,lutea,1,Id,1,11,1,,1,1,1,1,1,1,1,1,1,1,2,Drupe,0,0.5,0.5,0,0,Two syndromes,
,Coronopus,,,,,,,,,,,,,,,,,,,,1,,,,,,
Orchidaceae,Cranichis,schlimii,1,Id,1,2,,1,1,,,,,,,,,,3,Capsule,0,0,0,0,1,,
Orchidaceae,Cranichis,lichenophila,1,En,1,1,,,,,1,,,,,,,,3,Capsule,0,0,0,0,1,,
Orchidaceae,Cranichis,werffii,,EnQ,1,2,,,,,1,,,,,1,,,3,Capsule,0,0,0,0,1,,
,Crassula,,,,,,,,,,,,,,,,,,,,1,,,,,,
Convolvulaceae,Cressa,truxillensis,1,Id,1,1,,,,,,,,,1,,,,1,Capsule,1,0,0,0,0,,
Fabaceae,Crotalaria,incana,1,Id,1,8,,1,,,1,1,1,,1,1,1,1,2,Pod,1,0,0,0,0,,
Fabaceae,Crotalaria,pumila,1,Id,1,10,1,1,1,,1,,1,1,1,1,1,1,2,Pod,1,0,0,0,0,,
Euphorbiaceae,Croton,scouleri,1,En,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Capsule,1,0,0,0,0,,
Nyctaginaceae,Cryptocarpus,pyriformis,1,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Achene,0,0,0,1,0,,presence
Lythraceae,Cuphea,carthagenensis,1,Id,1,4,,,,,1,,,,1,1,,1,1,Capsule,0,0,0,1,0,,
Convolvulaceae,Cuscuta,gymnocarpa,1,En,1,7,1,1,1,1,1,,,,,1,,1,2,Capsule,1,0,0,0,0,,
Convolvulaceae,Cuscuta,acuta,1,En,1,8,1,1,1,1,1,1,,,,1,,1,2,Capsule,1,0,0,0,0,,
Orchidaceae,Cyclopogon,werffii,,En,1,1,,,,,,,,,,1,,,,Capsule,0,0,0,0,1,,
Apiaceae,Cyclospermum,laciniatum,,Id,1,6,,,1,,1,,1,,1,1,,1,,,1,0,0,0,0,,
