,SantaCruz_N,SantaCruz_S,SantaCruz_E,SantaCruz_W,SantaFe_N,SantaFe_S,SantaFe_E,SantaFe_W,Floreana_N,Floreana_S,Floreana_E,Floreana_W,Espanola_N,Espanola_S,Espanola_E,Espanola_W,SanCristobal_N,SanCristobal_S,SanCristobal_E,SanCristobal_W,Pinzon,Santiago_N,Santiago_S,Santiago_E,Santiago_W,Genovesa,Marchena_N,Marchena_S,Marchena_E,Marchena_W,Pinta_N,Pinta_S,Pinta_E,Pinta_W,Isabela_N,Isabela_S,Isabela_E1,Isabela_E2,Isabela_E3,Isabela_W1,Isabela_W2,Isabela_W3,Fernandina_N,Fernandina_S,Fernandina_E,Fernandina_W
Isabela_S,,,,,,,,,,,,,,,,,,,,,,1366.031313,735.9628905,1453.022885,988.6371145,1466.870072,1787.151302,1610.113588,1654.515215,1774.788675,2067.581634,2065.864653,1894.870636,2138.25801,1285.832114,0,224.108079,660.9074753,1243.408457,352.8800045,813.3051957,923.8108215,1059.260675,601.1378788,1020.993877,581.4466763
Isabela_E1,,,,,,,,,,,,,,,,,,,,,,865.6249003,346.4272636,945.3093023,474.248582,933.9083567,1257.658933,1371.957318,1155.945264,1220.974957,1660.140526,1578.832351,1329.049232,1481.52259,1234.430265,224.108079,0,224.150418,704.4209457,689.7466816,1160.194718,1391.616125,1541.965946,1001.286488,1440.847846,1043.042659
Isabela_E2,,,,,,,,,,,,,,,,,,,,,,458.321211,171.238003,928.8373659,147.9110826,999.6338717,850.8757845,965.3336219,946.9700085,839.8738434,1193.196353,1214.458355,939.1584084,1149.049867,564.7445063,660.9074753,224.150418,0,362.9408683,1400.969898,2097.186234,1440.159282,1798.162866,1807.523967,2327.458064,1771.178974
Isabela_E3,,,,,,,,,,,,,,,,,,,,,,150.1005576,347.6184233,365.6478637,349.6401149,723.9678046,502.9408442,556.3529375,549.3426284,612.5200358,827.1336241,646.5667874,522.8780157,747.7550502,246.7465761,1243.408457,704.4209457,362.9408683,0,1804.591274,2003.227131,908.8754166,1350.895792,1829.870856,2143.223301,1328.811895
Isabela_W1,,,,,,,,,,,,,,,,,,,,,,1522.270926,1487.761511,1768.993757,1795.131233,1851.800564,1542.88923,1498.787131,1790.599902,1701.568453,1390.284468,1429.771117,1563.395767,1682.935916,786.6508536,352.8800045,689.7466816,1400.969898,1804.591274,0,293.9980817,662.5840023,798.9834445,118.8642199,447.0255432,276.3114141
Isabela_W2,,,,,,,,,,,,,,,,,,,,,,1718.028964,2117.670879,1953.916621,2064.967471,2205.842896,1750.070279,1786.505257,2120.980396,1929.967211,1711.07084,1638.071413,1749.787695,1976.720896,970.6878083,813.3051957,1160.194718,2097.186234,2003.227131,293.9980817,0,936.3028316,1331.779844,152.6331619,172.4115381,429.236139
Isabela_W3,,,,,,,,,,,,,,,,,,,,,,820.4456726,1403.444473,991.8912503,1006.391782,1167.812624,790.1643512,793.7971967,1014.52847,939.8385429,790.576619,790.352053,868.6278806,791.931839,224.792893,923.8108215,1391.616125,1440.159282,908.8754166,662.5840023,936.3028316,0,153.0007856,569.1299966,1104.494158,193.0465916
Fernandina_N,1426.015016,,,,1330.781481,,,,936.573118,,,,1335.698686,,,,1605.538948,,,,1685.13812,1045.068106,1762.086169,1240.320229,1294.763564,1430.125854,1058.144731,1056.605407,1294.134499,1233.212185,1116.149405,1018.610713,1154.343808,1347.820143,433.7862479,1059.260675,1541.965946,1798.162866,1350.895792,798.9834445,1331.779844,153.0007856,0,795.3525352,1588.893198,279.5198764
Fernandina_S,,,,,,,,,,,,,,,,,,,,,,1435.892216,1863.219047,1692.77857,1772.505239,1914.426511,1450.34909,1475.903605,1742.894948,1648.52852,1462.935305,1388.719199,1483.630365,1701.420743,723.9792469,601.1378788,1001.286488,1807.523967,1829.870856,118.8642199,152.6331619,569.1299966,795.3525352,0,346.0647599,240.5404375
Fernandina_E,,,,,,,,,,,,,,,,,,,,,,1797.12468,2422.136434,2075.911295,2102.54578,2397.935001,1858.618852,1884.377064,2086.440387,1964.24068,1817.776984,1752.511012,1831.158859,2110.796819,1134.724806,1020.993877,1440.847846,2327.458064,2143.223301,447.0255432,172.4115381,1104.494158,1588.893198,346.0647599,0,565.4778542
Fernandina_W,,,,,,,,,,,,,,,,,,,,,,1086.520483,1786.59694,1301.172572,1367.141645,1436.945125,1078.48172,1047.958555,1334.403783,1257.034411,1060.416173,1037.901324,1133.772672,1246.139302,425.0367922,581.4466763,1043.042659,1771.178974,1328.811895,276.3114141,429.236139,193.0465916,279.5198764,240.5404375,565.4778542,0
